2026-05-18 17:29:50 | INFO     | root                 | [INFO] Logging initialized → logs\session_export.log
2026-05-18 17:29:51 | INFO     | __main__             | [INFO] Starting Live Console → DAW Mirror
2026-05-18 17:29:53 | INFO     | gui.main_window      | [INFO] Live Console → DAW Mirror v1.0.0 started
2026-05-18 17:30:09 | DEBUG    | registry             | [DEBUG] Registry: Registered DiGiCoParser
2026-05-18 17:30:09 | DEBUG    | registry             | [DEBUG] Registry: Registered YamahaParser
2026-05-18 17:30:09 | DEBUG    | registry             | [DEBUG] Registry: Registered AllenHeathParser
2026-05-18 17:30:09 | DEBUG    | registry             | [DEBUG] Registry: Registered RIVAGEParser
2026-05-18 17:30:09 | DEBUG    | registry             | [DEBUG] Registry: Registered AvidS6LParser
2026-05-18 17:30:09 | DEBUG    | registry             | [DEBUG] Registry: Registered REAPERExporter
2026-05-18 17:30:09 | DEBUG    | registry             | [DEBUG] Registry: Registered CubaseExporter
2026-05-18 17:30:09 | DEBUG    | registry             | [DEBUG] Registry: Registered NuendoExporter
2026-05-18 17:30:09 | DEBUG    | registry             | [DEBUG] Registry: Registered ProToolsExporter
2026-05-18 17:30:09 | DEBUG    | registry             | [DEBUG] Registry: Registered AbletonExporter
2026-05-18 17:30:09 | DEBUG    | registry             | [DEBUG] Registry: Registered LogicExporter
2026-05-18 17:30:09 | INFO     | registry             | [INFO] Registry: Loaded 5 parsers, 6 exporters
2026-05-18 17:30:09 | INFO     | parser.digico_parser | [INFO] DiGiCoParser: Starting parse of 'C:/Users/Home/Desktop/digico-converter/mp02 jay_krishna band_foh_q338_v2025_96khz.rtf'
2026-05-18 17:30:09 | INFO     | DiGiCoParser         | [INFO] Validated file: C:/Users/Home/Desktop/digico-converter/mp02 jay_krishna band_foh_q338_v2025_96khz.rtf (20369 bytes)
2026-05-18 17:30:09 | INFO     | parser.digico_parser | [INFO] DiGiCoParser: Extracted 10597 chars of plain text
2026-05-18 17:30:09 | INFO     | parser.digico_parser | [INFO] DiGiCoParser: Found 39 tracks
2026-05-18 17:30:09 | INFO     | parser.digico_parser | [SUCCESS] DiGiCoParser: Session 'c:\projects\mp02 jay_krishna band_foh_q338_v2025_96khz.ses    mp02 jay_krishna b' loaded — 39 tracks, 3 buses
2026-05-18 17:30:09 | INFO     | gui.track_table      | [INFO] TrackTable: Loaded 39 tracks
